,date,area,cases,new_cases,deaths,new_deaths
0,2020-01-25,Alberta,0,,0,
1,2020-01-26,Alberta,0,0.0,0,0.0
2,2020-01-27,Alberta,0,0.0,0,0.0
3,2020-01-28,Alberta,0,0.0,0,0.0
4,2020-01-29,Alberta,0,0.0,0,0.0
5,2020-01-30,Alberta,0,0.0,0,0.0
6,2020-01-31,Alberta,0,0.0,0,0.0
7,2020-02-01,Alberta,0,0.0,0,0.0
8,2020-02-02,Alberta,0,0.0,0,0.0
9,2020-02-03,Alberta,0,0.0,0,0.0
10,2020-02-04,Alberta,0,0.0,0,0.0
11,2020-02-05,Alberta,0,0.0,0,0.0
12,2020-02-06,Alberta,0,0.0,0,0.0
13,2020-02-07,Alberta,0,0.0,0,0.0
14,2020-02-08,Alberta,0,0.0,0,0.0
15,2020-02-09,Alberta,0,0.0,0,0.0
16,2020-02-10,Alberta,0,0.0,0,0.0
17,2020-02-11,Alberta,0,0.0,0,0.0
18,2020-02-12,Alberta,0,0.0,0,0.0
19,2020-02-13,Alberta,0,0.0,0,0.0
20,2020-02-14,Alberta,0,0.0,0,0.0
21,2020-02-15,Alberta,0,0.0,0,0.0
22,2020-02-16,Alberta,0,0.0,0,0.0
23,2020-02-17,Alberta,0,0.0,0,0.0
24,2020-02-18,Alberta,0,0.0,0,0.0
25,2020-02-19,Alberta,0,0.0,0,0.0
26,2020-02-20,Alberta,0,0.0,0,0.0
27,2020-02-21,Alberta,0,0.0,0,0.0
28,2020-02-22,Alberta,0,0.0,0,0.0
29,2020-02-23,Alberta,0,0.0,0,0.0
30,2020-02-24,Alberta,0,0.0,0,0.0
31,2020-02-25,Alberta,0,0.0,0,0.0
32,2020-02-26,Alberta,0,0.0,0,0.0
33,2020-02-27,Alberta,0,0.0,0,0.0
34,2020-02-28,Alberta,0,0.0,0,0.0
35,2020-02-29,Alberta,0,0.0,0,0.0
36,2020-03-01,Alberta,0,0.0,0,0.0
37,2020-03-02,Alberta,0,0.0,0,0.0
38,2020-03-03,Alberta,0,0.0,0,0.0
39,2020-03-04,Alberta,0,0.0,0,0.0
40,2020-03-05,Alberta,1,1.0,0,0.0
41,2020-03-06,Alberta,2,1.0,0,0.0
42,2020-03-07,Alberta,2,0.0,0,0.0
43,2020-03-08,Alberta,4,2.0,0,0.0
44,2020-03-09,Alberta,14,10.0,0,0.0
45,2020-03-10,Alberta,14,0.0,0,0.0
46,2020-03-11,Alberta,19,5.0,0,0.0
47,2020-03-12,Alberta,23,4.0,0,0.0
48,2020-03-13,Alberta,29,6.0,0,0.0
49,2020-03-14,Alberta,39,10.0,0,0.0
50,2020-03-15,Alberta,56,17.0,0,0.0
51,2020-03-16,Alberta,74,18.0,0,0.0
52,2020-03-17,Alberta,97,23.0,0,0.0
53,2020-03-18,Alberta,119,22.0,0,0.0
54,2020-03-19,Alberta,146,27.0,1,1.0
55,2020-03-20,Alberta,195,49.0,1,0.0
56,2020-03-21,Alberta,226,31.0,1,0.0
57,2020-03-22,Alberta,259,33.0,1,0.0
58,2020-03-23,Alberta,301,42.0,1,0.0
59,2020-03-24,Alberta,358,57.0,2,1.0
60,2020-03-25,Alberta,419,61.0,2,0.0
61,2020-03-26,Alberta,486,67.0,2,0.0
62,2020-03-27,Alberta,542,56.0,2,0.0
63,2020-03-28,Alberta,621,79.0,2,0.0
64,2020-03-29,Alberta,661,40.0,3,1.0
65,2020-03-30,Alberta,690,29.0,8,5.0
66,2020-03-31,Alberta,754,64.0,9,1.0
67,2020-04-01,Alberta,871,117.0,11,2.0
68,2020-04-02,Alberta,968,97.0,13,2.0
69,2020-04-03,Alberta,1075,107.0,18,5.0
70,2020-04-04,Alberta,1181,106.0,20,2.0
71,2020-04-05,Alberta,1250,69.0,23,3.0
72,2020-04-06,Alberta,1348,98.0,24,1.0
73,2020-04-07,Alberta,1373,25.0,26,2.0
74,2020-04-08,Alberta,1423,50.0,29,3.0
75,2020-04-09,Alberta,1451,28.0,32,3.0
76,2020-04-10,Alberta,1500,49.0,39,7.0
77,2020-04-11,Alberta,1569,69.0,40,1.0
78,2020-04-12,Alberta,1651,82.0,44,4.0
79,2020-04-13,Alberta,1732,81.0,46,2.0
80,2020-04-14,Alberta,1870,138.0,48,2.0
81,2020-04-15,Alberta,1996,126.0,48,0.0
82,2020-04-16,Alberta,2158,162.0,50,2.0
83,2020-04-17,Alberta,2397,239.0,50,0.0
84,2020-04-18,Alberta,2562,165.0,51,1.0
85,2020-04-19,Alberta,2803,241.0,55,4.0
86,2020-04-20,Alberta,2908,105.0,59,4.0
87,2020-04-21,Alberta,3095,187.0,61,2.0
88,2020-04-22,Alberta,3401,306.0,66,5.0
89,2020-04-23,Alberta,3720,319.0,68,2.0
90,2020-04-24,Alberta,4017,297.0,72,4.0
91,2020-04-25,Alberta,4232,215.0,73,1.0
92,2020-04-26,Alberta,4475,243.0,73,0.0
93,2020-04-27,Alberta,4691,216.0,75,2.0
94,2020-04-28,Alberta,4850,159.0,80,5.0
95,2020-04-29,Alberta,5165,315.0,87,7.0
96,2020-04-30,Alberta,5355,190.0,89,2.0
97,2020-05-01,Alberta,5573,218.0,92,3.0
98,2020-05-02,Alberta,5669,96.0,94,2.0
99,2020-05-03,Alberta,5762,93.0,95,1.0
100,2020-05-04,Alberta,5836,74.0,104,9.0
101,2020-05-05,Alberta,5893,57.0,106,2.0
102,2020-05-06,Alberta,5963,70.0,112,6.0
103,2020-05-07,Alberta,6017,54.0,114,2.0
104,2020-05-08,Alberta,6098,81.0,115,1.0
105,2020-05-09,Alberta,6157,59.0,116,1.0
106,2020-05-10,Alberta,6253,96.0,117,1.0
107,2020-05-11,Alberta,6300,47.0,117,0.0
108,2020-05-12,Alberta,6345,45.0,118,1.0
109,2020-05-13,Alberta,6407,62.0,120,2.0
110,2020-05-14,Alberta,6457,50.0,121,1.0
111,2020-05-15,Alberta,6514,57.0,125,4.0
112,2020-05-16,Alberta,6586,72.0,126,1.0
113,2020-05-17,Alberta,6643,57.0,127,1.0
114,2020-05-18,Alberta,6682,39.0,128,1.0
115,2020-05-19,Alberta,6715,33.0,128,0.0
116,2020-05-20,Alberta,6734,19.0,128,0.0
117,2020-05-21,Alberta,6767,33.0,132,4.0
118,2020-05-22,Alberta,6799,32.0,134,2.0
119,2020-05-23,Alberta,6817,18.0,135,1.0
120,2020-05-24,Alberta,6859,42.0,135,0.0
121,2020-05-25,Alberta,6878,19.0,138,3.0
122,2020-05-26,Alberta,6900,22.0,139,1.0
123,2020-05-27,Alberta,6925,25.0,141,2.0
124,2020-05-28,Alberta,6954,29.0,143,2.0
125,2020-05-29,Alberta,6978,24.0,143,0.0
126,2020-05-30,Alberta,6992,14.0,143,0.0
127,2020-05-31,Alberta,7010,18.0,143,0.0
128,2020-06-01,Alberta,7044,34.0,143,0.0
129,2020-06-02,Alberta,7057,13.0,143,0.0
130,2020-06-03,Alberta,7076,19.0,145,2.0
131,2020-06-04,Alberta,7091,15.0,146,1.0
132,2020-06-05,Alberta,7098,7.0,146,0.0
133,2020-06-06,Alberta,7138,40.0,146,0.0
134,2020-06-07,Alberta,7138,0.0,146,0.0
135,2020-06-08,Alberta,7202,64.0,148,2.0
136,2020-06-09,Alberta,7229,27.0,149,1.0
137,2020-06-10,Alberta,7276,47.0,149,0.0
138,2020-06-11,Alberta,7316,40.0,149,0.0
139,2020-06-12,Alberta,7346,30.0,149,0.0
140,2020-06-13,Alberta,7383,37.0,150,1.0
141,2020-06-14,Alberta,7433,50.0,150,0.0
142,2020-06-15,Alberta,7447,14.0,151,1.0
143,2020-06-16,Alberta,7482,35.0,151,0.0
144,2020-06-17,Alberta,7530,48.0,151,0.0
145,2020-06-18,Alberta,7579,49.0,152,1.0
146,2020-06-19,Alberta,7625,46.0,152,0.0
147,2020-06-20,Alberta,7673,48.0,152,0.0
148,2020-06-21,Alberta,7704,31.0,152,0.0
149,2020-06-22,Alberta,7736,32.0,153,1.0
150,2020-06-23,Alberta,7781,45.0,153,0.0
151,2020-06-24,Alberta,7825,44.0,153,0.0
152,2020-06-25,Alberta,7851,26.0,154,1.0
153,2020-06-26,Alberta,7888,37.0,154,0.0
154,2020-06-27,Alberta,7957,69.0,154,0.0
155,2020-06-28,Alberta,7996,39.0,154,0.0
156,2020-06-29,Alberta,8067,71.0,154,0.0
157,2020-06-30,Alberta,8108,41.0,154,0.0
158,2020-07-01,Alberta,8108,0.0,154,0.0
159,2020-07-02,Alberta,8202,94.0,155,1.0
160,2020-07-03,Alberta,8259,57.0,155,0.0
161,2020-07-04,Alberta,8259,0.0,155,0.0
162,2020-07-05,Alberta,8259,0.0,155,0.0
163,2020-07-06,Alberta,8389,130.0,155,0.0
164,2020-07-07,Alberta,8436,47.0,157,2.0
165,2020-07-08,Alberta,8482,46.0,158,1.0
166,2020-07-09,Alberta,8519,37.0,160,2.0
167,2020-07-10,Alberta,8596,77.0,160,0.0
168,2020-07-11,Alberta,8596,0.0,160,0.0
169,2020-07-12,Alberta,8596,0.0,160,0.0
170,2020-07-13,Alberta,8826,230.0,161,1.0
171,2020-07-14,Alberta,8912,86.0,163,2.0
172,2020-07-15,Alberta,8994,82.0,163,0.0
173,2020-07-16,Alberta,9114,120.0,165,2.0
174,2020-07-17,Alberta,9219,105.0,167,2.0
175,2020-07-18,Alberta,9219,0.0,167,0.0
176,2020-07-19,Alberta,9219,0.0,167,0.0
177,2020-07-20,Alberta,9587,368.0,170,3.0
178,2020-07-21,Alberta,9728,141.0,171,1.0
179,2020-07-22,Alberta,9861,133.0,173,2.0
180,2020-07-23,Alberta,9973,112.0,175,2.0
181,2020-07-24,Alberta,10084,111.0,177,2.0
182,2020-07-25,Alberta,10084,0.0,177,0.0
183,2020-07-26,Alberta,10084,0.0,177,0.0
184,2020-07-27,Alberta,10387,303.0,185,8.0
185,2020-07-28,Alberta,10466,79.0,187,2.0
186,2020-07-29,Alberta,10599,133.0,190,3.0
187,2020-07-30,Alberta,10712,113.0,195,5.0
188,2020-07-31,Alberta,10839,127.0,196,1.0
189,2020-08-01,Alberta,10839,0.0,196,0.0
190,2020-08-02,Alberta,10839,0.0,196,0.0
191,2020-08-03,Alberta,10839,0.0,196,0.0
192,2020-08-04,Alberta,11144,305.0,201,5.0
193,2020-08-05,Alberta,11238,94.0,203,2.0
194,2020-08-06,Alberta,11294,56.0,205,2.0
195,2020-08-07,Alberta,11430,136.0,208,3.0
196,2020-08-08,Alberta,11430,0.0,208,0.0
197,2020-08-09,Alberta,11430,0.0,208,0.0
198,2020-08-10,Alberta,11687,257.0,213,5.0
199,2020-08-11,Alberta,11772,85.0,216,3.0
200,2020-08-12,Alberta,11893,121.0,217,1.0
201,2020-08-13,Alberta,11969,76.0,220,3.0
202,2020-08-14,Alberta,12053,84.0,221,1.0
203,2020-08-15,Alberta,12053,0.0,221,0.0
204,2020-08-16,Alberta,12053,0.0,221,0.0
205,2020-08-17,Alberta,12330,277.0,224,3.0
206,2020-08-18,Alberta,12419,89.0,225,1.0
207,2020-08-19,Alberta,12501,82.0,227,2.0
208,2020-08-20,Alberta,12604,103.0,228,1.0
209,2020-08-21,Alberta,12748,144.0,230,2.0
210,2020-08-22,Alberta,12748,0.0,230,0.0
211,2020-08-23,Alberta,12748,0.0,230,0.0
212,2020-08-24,Alberta,13006,258.0,234,4.0
213,2020-08-25,Alberta,13083,77.0,235,1.0
214,2020-08-26,Alberta,13210,127.0,235,0.0
215,2020-08-27,Alberta,13318,108.0,237,2.0
216,2020-08-28,Alberta,13476,158.0,237,0.0
217,2020-08-29,Alberta,13476,0.0,237,0.0
218,2020-08-30,Alberta,13476,0.0,237,0.0
219,2020-08-31,Alberta,13902,426.0,239,2.0
220,2020-09-01,Alberta,14066,164.0,241,2.0
221,2020-09-02,Alberta,14180,114.0,242,1.0
222,2020-09-03,Alberta,14310,130.0,242,0.0
223,2020-09-04,Alberta,14474,164.0,242,0.0
224,2020-09-05,Alberta,14474,0.0,242,0.0
225,2020-09-06,Alberta,14474,0.0,242,0.0
226,2020-09-07,Alberta,14474,0.0,242,0.0
227,2020-09-08,Alberta,15093,619.0,247,5.0
228,2020-09-09,Alberta,15191,98.0,248,1.0
229,2020-09-10,Alberta,15304,113.0,253,5.0
230,2020-09-11,Alberta,15415,111.0,253,0.0
231,2020-09-12,Alberta,15415,0.0,253,0.0
232,2020-09-13,Alberta,15415,0.0,253,0.0
233,2020-09-14,Alberta,15833,418.0,254,1.0
234,2020-09-15,Alberta,15957,124.0,254,0.0
235,2020-09-16,Alberta,16128,171.0,254,0.0
236,2020-09-17,Alberta,16274,146.0,254,0.0
237,2020-09-18,Alberta,16381,107.0,255,1.0
238,2020-09-19,Alberta,16381,0.0,255,0.0
239,2020-09-20,Alberta,16381,0.0,255,0.0
240,2020-09-21,Alberta,16739,358.0,256,1.0
241,2020-09-22,Alberta,16889,150.0,258,2.0
242,2020-09-23,Alberta,17032,143.0,260,2.0
243,2020-09-24,Alberta,17190,158.0,261,1.0
244,2020-09-25,Alberta,17343,153.0,261,0.0
245,2020-09-26,Alberta,17343,0.0,261,0.0
246,2020-09-27,Alberta,17343,0.0,261,0.0
247,2020-09-28,Alberta,17749,406.0,265,4.0
248,2020-09-29,Alberta,17909,160.0,266,1.0
249,2020-09-30,Alberta,18062,153.0,267,1.0
250,2020-10-01,Alberta,18235,173.0,269,2.0
251,2020-10-02,Alberta,18357,122.0,272,3.0
252,2020-10-03,Alberta,18357,0.0,272,0.0
253,2020-10-04,Alberta,18357,0.0,272,0.0
254,2020-10-05,Alberta,18935,578.0,280,8.0
255,2020-10-06,Alberta,19211,276.0,281,1.0
256,2020-10-07,Alberta,19354,143.0,281,0.0
257,2020-10-08,Alberta,19718,364.0,282,1.0
258,2020-10-09,Alberta,19995,277.0,282,0.0
259,2020-10-10,Alberta,19995,0.0,282,0.0
260,2020-10-11,Alberta,19995,0.0,282,0.0
261,2020-10-12,Alberta,19995,0.0,282,0.0
262,2020-10-13,Alberta,20956,961.0,286,4.0
263,2020-10-14,Alberta,21199,243.0,287,1.0
264,2020-10-15,Alberta,21443,244.0,288,1.0
265,2020-10-16,Alberta,21775,332.0,288,0.0
266,2020-10-17,Alberta,21775,0.0,288,0.0
267,2020-10-18,Alberta,21775,0.0,288,0.0
268,2020-10-19,Alberta,22673,898.0,292,4.0
269,2020-10-20,Alberta,22996,323.0,293,1.0
270,2020-10-21,Alberta,23402,406.0,296,3.0
271,2020-10-22,Alberta,23829,427.0,296,0.0
272,2020-10-23,Alberta,24261,432.0,300,4.0
273,2020-10-24,Alberta,24261,0.0,300,0.0
274,2020-10-25,Alberta,24261,0.0,300,0.0
275,2020-10-26,Alberta,25733,1472.0,307,7.0
276,2020-10-27,Alberta,26155,422.0,309,2.0
277,2020-10-28,Alberta,26565,410.0,313,4.0
278,2020-10-29,Alberta,27042,477.0,318,5.0
279,2020-10-30,Alberta,27664,622.0,323,5.0
280,2020-10-31,Alberta,27664,0.0,323,0.0
281,2020-11-01,Alberta,27664,0.0,323,0.0
282,2020-11-02,Alberta,27664,0.0,323,0.0
283,2020-11-03,Alberta,29932,2268.0,338,15.0
284,2020-11-04,Alberta,30447,515.0,343,5.0
285,2020-11-05,Alberta,30447,0.0,343,0.0
286,2020-11-06,Alberta,31858,1411.0,352,9.0
287,2020-11-07,Alberta,31858,0.0,357,5.0
288,2020-11-08,Alberta,31858,0.0,363,6.0
289,2020-11-09,Alberta,34160,2302.0,370,7.0
290,2020-11-10,Alberta,34873,713.0,376,6.0
291,2020-11-11,Alberta,34873,0.0,383,7.0
292,2020-11-12,Alberta,36405,1532.0,393,10.0
293,2020-11-13,Alberta,37312,907.0,398,5.0
294,2020-11-14,Alberta,37312,0.0,401,3.0
295,2020-11-15,Alberta,37312,0.0,407,6.0
296,2020-11-16,Alberta,40189,2877.0,427,20.0
297,2020-11-17,Alberta,40962,773.0,432,5.0
298,2020-11-18,Alberta,41692,730.0,443,11.0
299,2020-11-19,Alberta,42797,1105.0,451,8.0
300,2020-11-20,Alberta,43952,1155.0,462,11.0
301,2020-11-21,Alberta,45288,1336.0,471,9.0
302,2020-11-22,Alberta,46872,1584.0,471,0.0
303,2020-11-23,Alberta,48421,1549.0,476,5.0
304,2020-11-24,Alberta,49536,1115.0,491,15.0
305,2020-11-25,Alberta,50801,1265.0,500,9.0
306,2020-11-26,Alberta,51878,1077.0,510,10.0
307,2020-11-27,Alberta,53105,1227.0,519,9.0
308,2020-11-28,Alberta,54836,1731.0,524,5.0
309,2020-11-29,Alberta,56444,1608.0,533,9.0
310,2020-11-30,Alberta,58177,1733.0,541,8.0
311,2020-12-01,Alberta,59484,1307.0,551,10.0
312,2020-12-02,Alberta,61169,1685.0,561,10.0
313,2020-12-03,Alberta,63023,1854.0,575,14.0
314,2020-12-04,Alberta,64851,1828.0,590,15.0
315,2020-12-05,Alberta,66730,1879.0,596,6.0
316,2020-12-06,Alberta,68566,1836.0,615,19.0
317,2020-12-07,Alberta,70301,1735.0,631,16.0
318,2020-12-08,Alberta,72028,1727.0,640,9.0
319,2020-12-09,Alberta,73488,1460.0,653,13.0
320,2020-12-10,Alberta,75054,1566.0,666,13.0
321,2020-12-11,Alberta,76792,1738.0,684,18.0
322,2020-12-12,Alberta,78382,1590.0,697,13.0
323,2020-12-13,Alberta,80099,1717.0,719,22.0
324,2020-12-14,Alberta,81986,1887.0,733,14.0
325,2020-12-15,Alberta,83327,1341.0,744,11.0
326,2020-12-16,Alberta,84597,1270.0,760,16.0
327,2020-12-17,Alberta,86168,1571.0,790,30.0
328,2020-12-18,Alberta,87581,1413.0,815,25.0
329,2020-12-19,Alberta,88933,1352.0,841,26.0
330,2020-12-20,Alberta,90219,1286.0,851,10.0
331,2020-12-21,Alberta,91459,1240.0,860,9.0
332,2020-12-22,Alberta,92480,1021.0,871,11.0
333,2020-12-23,Alberta,93781,1301.0,890,19.0
334,2020-12-24,Alberta,93781,0.0,890,0.0
335,2020-12-25,Alberta,93781,0.0,890,0.0
336,2020-12-26,Alberta,93781,0.0,890,0.0
337,2020-12-27,Alberta,93781,0.0,890,0.0
338,2020-12-28,Alberta,98269,4488.0,1002,112.0
339,2020-12-29,Alberta,99141,872.0,1028,26.0
340,2020-12-30,Alberta,100428,1287.0,1046,18.0
341,2020-12-31,Alberta,100428,0.0,1046,0.0
342,2021-01-01,Alberta,100428,0.0,1046,0.0
343,2021-01-02,Alberta,100428,0.0,1046,0.0
344,2021-01-03,Alberta,100428,0.0,1046,0.0
345,2021-01-04,Alberta,105535,5107.0,1142,96.0
346,2021-01-05,Alberta,106378,843.0,1168,26.0
347,2021-01-06,Alberta,107501,1123.0,1193,25.0
348,2021-01-07,Alberta,108469,968.0,1217,24.0
349,2021-01-08,Alberta,109652,1183.0,1241,24.0
350,2021-01-09,Alberta,110641,989.0,1272,31.0
351,2021-01-10,Alberta,111452,811.0,1284,12.0
352,2021-01-11,Alberta,112091,639.0,1307,23.0
353,2021-01-12,Alberta,112743,652.0,1345,38.0
354,2021-01-13,Alberta,113618,875.0,1368,23.0
355,2021-01-14,Alberta,114585,967.0,1389,21.0
356,2021-01-15,Alberta,115370,785.0,1402,13.0
357,2021-01-16,Alberta,116087,717.0,1417,15.0
358,2021-01-17,Alberta,116837,750.0,1436,19.0
359,2021-01-18,Alberta,117306,469.0,1447,11.0
360,2021-01-19,Alberta,117767,461.0,1463,16.0
361,2021-01-20,Alberta,118436,669.0,1484,21.0
362,2021-01-21,Alberta,119114,678.0,1500,16.0
363,2021-01-22,Alberta,119757,643.0,1512,12.0
364,2021-01-23,Alberta,120330,573.0,1525,13.0
365,2021-01-24,Alberta,120793,463.0,1549,24.0
366,2021-01-25,Alberta,121535,742.0,1574,25.0
367,2021-01-26,Alberta,121901,366.0,1587,13.0
368,2021-01-27,Alberta,122360,459.0,1599,12.0
369,2021-01-28,Alberta,122821,461.0,1606,7.0
370,2021-01-29,Alberta,123364,543.0,1620,14.0
371,2021-01-30,Alberta,123747,383.0,1631,11.0
372,2021-01-31,Alberta,124208,461.0,1639,8.0
373,2021-02-01,Alberta,124563,355.0,1647,8.0
374,2021-02-02,Alberta,124831,268.0,1660,13.0
375,2021-02-03,Alberta,125090,259.0,1671,11.0
376,2021-02-04,Alberta,125672,582.0,1684,13.0
377,2021-02-05,Alberta,126068,396.0,1693,9.0
378,2021-02-06,Alberta,126416,348.0,1705,12.0
379,2021-02-07,Alberta,126767,351.0,1709,4.0
380,2021-02-08,Alberta,127036,269.0,1710,1.0
381,2021-02-09,Alberta,127231,195.0,1722,12.0
382,2021-02-10,Alberta,127570,339.0,1728,6.0
383,2021-02-11,Alberta,127921,351.0,1744,16.0
384,2021-02-12,Alberta,128235,314.0,1760,16.0
385,2021-02-13,Alberta,128540,305.0,1775,15.0
386,2021-02-14,Alberta,128824,284.0,1780,5.0
387,2021-02-15,Alberta,129075,251.0,1782,2.0
388,2021-02-16,Alberta,129338,263.0,1791,9.0
389,2021-02-17,Alberta,129615,277.0,1798,7.0
390,2021-02-18,Alberta,130030,415.0,1805,7.0
391,2021-02-19,Alberta,130355,325.0,1812,7.0
392,2021-02-20,Alberta,130735,380.0,1818,6.0
393,2021-02-21,Alberta,131063,328.0,1827,9.0
394,2021-02-22,Alberta,131336,273.0,1843,16.0
395,2021-02-23,Alberta,131603,267.0,1853,10.0
396,2021-02-24,Alberta,132033,430.0,1866,13.0
397,2021-02-25,Alberta,132432,399.0,1874,8.0
398,2021-02-26,Alberta,132788,356.0,1877,3.0
399,2021-02-27,Alberta,133203,415.0,1883,6.0
400,2021-02-28,Alberta,133504,301.0,1886,3.0
401,2021-03-01,Alberta,133795,291.0,1888,2.0
402,2021-03-02,Alberta,134052,257.0,1890,2.0
403,2021-03-03,Alberta,134454,402.0,1902,12.0
404,2021-03-04,Alberta,134785,331.0,1911,9.0
405,2021-03-05,Alberta,135196,411.0,1913,2.0
406,2021-03-06,Alberta,135537,341.0,1914,1.0
407,2021-03-07,Alberta,135537,0.0,1914,0.0
408,2021-03-08,Alberta,136119,582.0,1920,6.0
409,2021-03-09,Alberta,136374,255.0,1926,6.0
410,2021-03-10,Alberta,136773,399.0,1928,2.0
411,2021-03-11,Alberta,137137,364.0,1933,5.0
412,2021-03-12,Alberta,137564,427.0,1935,2.0
413,2021-03-13,Alberta,138036,472.0,1940,5.0
414,2021-03-14,Alberta,138424,388.0,1946,6.0
415,2021-03-15,Alberta,138788,364.0,1949,3.0
416,2021-03-16,Alberta,139143,355.0,1952,3.0
417,2021-03-17,Alberta,139622,479.0,1956,4.0
418,2021-03-18,Alberta,140127,505.0,1957,1.0
419,2021-03-19,Alberta,140823,696.0,1957,0.0
420,2021-03-20,Alberta,141379,556.0,1961,4.0
421,2021-03-21,Alberta,141934,555.0,1963,2.0
422,2021-03-22,Alberta,142390,456.0,1968,5.0
423,2021-03-23,Alberta,142855,465.0,1971,3.0
424,2021-03-24,Alberta,143547,692.0,1973,2.0
425,2021-03-25,Alberta,144311,764.0,1976,3.0
426,2021-03-26,Alberta,145028,717.0,1979,3.0
427,2021-03-27,Alberta,145696,668.0,1980,1.0
428,2021-03-28,Alberta,146340,644.0,1983,3.0
429,2021-03-29,Alberta,146885,545.0,1983,0.0
430,2021-03-30,Alberta,147461,576.0,1987,4.0
431,2021-03-31,Alberta,148332,871.0,1990,3.0
432,2021-04-01,Alberta,149207,875.0,1994,4.0
433,2021-04-02,Alberta,149207,0.0,1994,0.0
434,2021-04-03,Alberta,149207,0.0,1994,0.0
435,2021-04-04,Alberta,149207,0.0,1994,0.0
436,2021-04-05,Alberta,153194,3987.0,1998,4.0
437,2021-04-06,Alberta,154125,931.0,2001,3.0
438,2021-04-07,Alberta,155476,1351.0,2002,1.0
439,2021-04-08,Alberta,156905,1429.0,2005,3.0
440,2021-04-09,Alberta,158426,1521.0,2007,2.0
441,2021-04-10,Alberta,159719,1293.0,2012,5.0
442,2021-04-11,Alberta,160902,1183.0,2013,1.0
443,2021-04-12,Alberta,162038,1136.0,2018,5.0
444,2021-04-13,Alberta,163119,1081.0,2021,3.0
445,2021-04-14,Alberta,164531,1412.0,2029,8.0
446,2021-04-15,Alberta,166177,1646.0,2034,5.0
447,2021-04-16,Alberta,167793,1616.0,2034,0.0
448,2021-04-17,Alberta,169279,1486.0,2037,3.0
449,2021-04-18,Alberta,170793,1514.0,2040,3.0
450,2021-04-19,Alberta,172184,1391.0,2043,3.0
451,2021-04-20,Alberta,173531,1347.0,2048,5.0
452,2021-04-21,Alberta,173531,0.0,2048,0.0
453,2021-04-22,Alberta,177087,3556.0,2054,6.0
454,2020-01-25,BC,0,,0,
455,2020-01-26,BC,0,0.0,0,0.0
456,2020-01-27,BC,0,0.0,0,0.0
457,2020-01-28,BC,1,1.0,0,0.0
458,2020-01-29,BC,1,0.0,0,0.0
459,2020-01-30,BC,1,0.0,0,0.0
460,2020-01-31,BC,1,0.0,0,0.0
461,2020-02-01,BC,1,0.0,0,0.0
462,2020-02-02,BC,1,0.0,0,0.0
463,2020-02-03,BC,1,0.0,0,0.0
464,2020-02-04,BC,2,1.0,0,0.0
465,2020-02-05,BC,2,0.0,0,0.0
466,2020-02-06,BC,4,2.0,0,0.0
467,2020-02-07,BC,4,0.0,0,0.0
468,2020-02-08,BC,4,0.0,0,0.0
469,2020-02-09,BC,4,0.0,0,0.0
470,2020-02-10,BC,4,0.0,0,0.0
471,2020-02-11,BC,4,0.0,0,0.0
472,2020-02-12,BC,4,0.0,0,0.0
473,2020-02-13,BC,4,0.0,0,0.0
474,2020-02-14,BC,5,1.0,0,0.0
475,2020-02-15,BC,5,0.0,0,0.0
476,2020-02-16,BC,5,0.0,0,0.0
477,2020-02-17,BC,5,0.0,0,0.0
478,2020-02-18,BC,5,0.0,0,0.0
479,2020-02-19,BC,5,0.0,0,0.0
480,2020-02-20,BC,6,1.0,0,0.0
481,2020-02-21,BC,6,0.0,0,0.0
482,2020-02-22,BC,6,0.0,0,0.0
483,2020-02-23,BC,6,0.0,0,0.0
484,2020-02-24,BC,7,1.0,0,0.0
485,2020-02-25,BC,7,0.0,0,0.0
486,2020-02-26,BC,7,0.0,0,0.0
487,2020-02-27,BC,7,0.0,0,0.0
488,2020-02-28,BC,7,0.0,0,0.0
489,2020-02-29,BC,8,1.0,0,0.0
490,2020-03-01,BC,8,0.0,0,0.0
491,2020-03-02,BC,8,0.0,0,0.0
492,2020-03-03,BC,12,4.0,0,0.0
493,2020-03-04,BC,13,1.0,0,0.0
494,2020-03-05,BC,21,8.0,0,0.0
495,2020-03-06,BC,21,0.0,0,0.0
496,2020-03-07,BC,27,6.0,0,0.0
497,2020-03-08,BC,27,0.0,1,1.0
498,2020-03-09,BC,32,5.0,1,0.0
499,2020-03-10,BC,39,7.0,1,0.0
500,2020-03-11,BC,46,7.0,1,0.0
501,2020-03-12,BC,53,7.0,1,0.0
502,2020-03-13,BC,64,11.0,1,0.0
503,2020-03-14,BC,73,9.0,1,0.0
504,2020-03-15,BC,73,0.0,1,0.0
505,2020-03-16,BC,103,30.0,4,3.0
506,2020-03-17,BC,186,83.0,7,3.0
507,2020-03-18,BC,231,45.0,7,0.0
508,2020-03-19,BC,271,40.0,8,1.0
509,2020-03-20,BC,348,77.0,9,1.0
510,2020-03-21,BC,424,76.0,10,1.0
511,2020-03-22,BC,424,0.0,10,0.0
512,2020-03-23,BC,472,48.0,13,3.0
513,2020-03-24,BC,617,145.0,13,0.0
514,2020-03-25,BC,659,42.0,14,1.0
515,2020-03-26,BC,725,66.0,14,0.0
516,2020-03-27,BC,792,67.0,16,2.0
517,2020-03-28,BC,884,92.0,17,1.0
518,2020-03-29,BC,884,0.0,17,0.0
519,2020-03-30,BC,970,86.0,19,2.0
520,2020-03-31,BC,1013,43.0,24,5.0
